date,region,product,category,customer_type,quantity,price,sales,customer_rating,sales_category
2024-04-01,South,Phone,Accessories,New,4,1031,3752.84,4,very high
2024-12-19,East,Phone,Electronics,New,6,1204,7007.28,4,
2024-11-17,East,Mouse,Accessories,New,5,637,2834.65,1,very high
2024-10-14,South,Monitor,Electronics,New,1,525,483.0,3,medium
2024-08-02,West,Laptop,Electronics,New,9,1035,6986.25,3,
2024-12-07,North,Phone,Electronics,Returning,1,1350,1228.5,1,very high
2024-02-20,South,Mouse,Accessories,Returning,8,205,1246.4,1,very high
2024-06-01,West,Mouse,Accessories,Returning,9,1291,8481.869999999999,4,
2024-07-04,North,Tablet,Electronics,Returning,9,239,1871.37,3,very high
2024-03-03,South,Monitor,Accessories,New,1,1490,1087.7,3,very high
2024-07-08,South,Laptop,Accessories,New,2,1030,1833.4,3,very high
2024-05-04,East,Keyboard,Electronics,New,1,595,422.45,3,medium
2024-05-29,North,Tablet,Electronics,New,2,90,174.6,4,medium
2024-11-09,North,Phone,Accessories,New,8,356,2249.92,3,very high
2024-02-27,West,Phone,Electronics,Returning,5,992,4216.0,1,very high
2024-12-07,East,Tablet,Accessories,New,7,387,2383.92,3,very high
2024-10-31,East,Mouse,Accessories,Returning,2,1387,2246.94,1,very high
2024-06-28,East,Phone,Accessories,Returning,8,1148,7255.360000000001,4,
2024-06-18,East,Monitor,Accessories,Returning,6,1002,6012.0,3,
2024-11-21,North,Laptop,Electronics,Returning,8,328,2492.8,2,very high
2024-09-27,North,Monitor,Electronics,New,1,1249,986.71,4,high
2024-02-23,South,Phone,Electronics,Returning,1,945,756.0,2,high
2024-04-10,South,Keyboard,Electronics,Returning,7,322,1600.34,4,very high
2024-09-20,East,Laptop,Accessories,Returning,8,886,5457.76,4,
2024-02-22,East,Laptop,Accessories,New,3,669,1424.97,3,very high
2024-02-29,East,Tablet,Electronics,New,5,911,3598.4500000000003,3,very high
2024-04-17,South,Tablet,Accessories,New,1,980,891.8000000000001,3,high
2024-01-05,West,Keyboard,Accessories,Returning,7,338,2295.02,2,very high
2024-04-12,West,Mouse,Accessories,Returning,5,773,2976.05,1,very high
2024-07-14,South,Laptop,Electronics,New,8,942,6104.160000000001,3,
2024-09-18,South,Keyboard,Electronics,Returning,8,321,2542.32,3,very high
2024-12-30,South,Tablet,Electronics,New,9,1139,9123.39,2,
2024-12-15,South,Tablet,Accessories,New,7,532,2644.04,1,very high
2024-02-16,South,Laptop,Electronics,Returning,1,985,837.25,3,high
2024-12-20,South,Monitor,Electronics,Returning,3,297,775.17,4,high
2024-11-06,East,Phone,Electronics,Returning,8,205,1410.4,3,very high
2024-11-03,East,Tablet,Electronics,Returning,3,1120,3158.4,1,very high
2024-05-23,East,Mouse,Electronics,New,8,503,3581.36,2,very high
2024-09-25,East,Mouse,Electronics,New,1,250,222.5,3,medium
2024-05-03,South,Tablet,Accessories,New,5,173,847.6999999999999,1,high
2024-04-15,West,Monitor,Accessories,New,4,50,154.0,1,medium
2024-06-06,North,Monitor,Electronics,New,5,1017,4474.8,4,very high
2024-05-26,South,Keyboard,Electronics,Returning,8,904,5424.0,3,
2024-05-24,North,Mouse,Accessories,New,4,689,2039.44,4,very high
2024-04-29,West,Keyboard,Accessories,New,4,240,902.4,1,high
2024-11-14,East,Mouse,Electronics,New,3,565,1356.0,1,very high
2024-10-01,West,Phone,Electronics,Returning,7,491,2955.82,2,very high
2024-04-01,South,Phone,Electronics,Returning,3,192,426.24,3,medium
2024-02-27,East,Laptop,Electronics,Returning,3,1264,3564.48,1,very high
2024-12-11,South,Keyboard,Accessories,Returning,5,582,2328.0,3,very high
2024-08-16,East,Tablet,Electronics,New,5,276,1131.6,2,very high
2024-04-26,North,Keyboard,Electronics,New,6,1386,7567.56,3,
2024-11-13,North,Tablet,Electronics,Returning,8,998,7664.639999999999,1,
2024-10-05,North,Monitor,Electronics,Returning,6,1375,6600.0,3,
2024-05-06,West,Keyboard,Accessories,New,1,509,397.02,3,medium
2024-05-08,South,Monitor,Accessories,New,8,1474,10730.72,4,
2024-02-27,West,Phone,Accessories,Returning,8,600,3888.000000000001,2,very high
2024-05-01,North,Phone,Electronics,Returning,9,442,3500.64,3,very high
2024-01-01,South,Laptop,Electronics,Returning,9,894,6356.34,3,
2024-08-26,North,Keyboard,Accessories,Returning,2,1280,2406.4,2,very high
2024-10-16,West,Monitor,Electronics,New,2,259,378.14,2,medium
2024-04-05,West,Tablet,Electronics,New,3,1188,3243.24,4,very high
2024-05-05,West,Phone,Accessories,New,1,695,618.55,3,high
2024-04-27,North,Phone,Accessories,Returning,4,1324,5190.08,2,
2024-02-17,South,Tablet,Accessories,Returning,4,268,1039.84,1,very high
2024-03-29,South,Monitor,Accessories,New,9,456,3488.4,2,very high
2024-08-24,North,Monitor,Electronics,New,9,1427,11815.56,4,
2024-09-28,South,Keyboard,Electronics,New,9,937,6324.75,4,
2024-07-07,North,Keyboard,Accessories,New,7,607,4249.0,3,very high
2024-07-10,South,Mouse,Electronics,Returning,2,599,1066.22,3,very high
2024-03-09,East,Mouse,Accessories,New,5,191,859.5,1,high
2024-10-04,East,Laptop,Accessories,New,4,661,2617.56,2,very high
2024-12-14,West,Phone,Electronics,New,8,550,4224.0,1,very high
2024-09-03,East,Keyboard,Accessories,New,2,889,1564.64,1,very high
2024-03-16,East,Monitor,Electronics,New,6,751,3830.1,1,very high
2024-06-02,East,Tablet,Electronics,New,5,645,2838.0,4,very high
2024-05-23,North,Monitor,Electronics,New,2,330,554.4,1,high
2024-03-26,East,Phone,Electronics,Returning,1,473,387.86,3,medium
2024-07-03,East,Mouse,Accessories,Returning,8,905,7240.0,2,
2024-10-11,West,Monitor,Electronics,Returning,2,319,548.68,1,high
2024-08-07,East,Laptop,Accessories,Returning,7,203,1008.91,3,very high
2024-03-09,East,Phone,Accessories,New,9,663,5012.28,2,
2024-02-16,South,Mouse,Accessories,Returning,9,711,5119.200000000001,3,
2024-04-03,West,Tablet,Accessories,Returning,8,132,960.96,1,high
2024-08-25,West,Mouse,Electronics,New,9,996,6902.28,3,
2024-07-22,West,Laptop,Electronics,New,2,948,1459.92,1,very high
2024-08-05,West,Phone,Accessories,Returning,6,1499,7554.96,1,
2024-12-06,West,Tablet,Accessories,Returning,4,1348,3828.32,3,very high
2024-02-08,West,Laptop,Electronics,New,4,333,1278.72,4,very high
2024-04-09,North,Mouse,Accessories,Returning,5,1029,5093.55,3,
2024-10-15,East,Laptop,Electronics,New,3,222,512.82,1,high
2024-09-10,West,Phone,Accessories,New,1,1400,1064.0,2,very high
2024-08-09,East,Keyboard,Electronics,New,8,1136,8724.48,4,
2024-12-22,East,Laptop,Accessories,New,5,1146,5271.6,2,
2024-01-23,North,Laptop,Accessories,Returning,3,812,2411.64,4,very high
2024-09-06,West,Mouse,Electronics,New,7,1448,9223.76,1,
2024-01-10,South,Mouse,Accessories,New,7,682,3675.98,3,very high
2024-09-02,North,Tablet,Accessories,Returning,1,836,702.24,3,high
2024-11-20,South,Mouse,Electronics,New,9,992,8035.2,4,
2024-04-09,East,Monitor,Accessories,Returning,2,1061,1888.58,3,very high
2024-10-16,East,Phone,Electronics,Returning,5,447,2235.0,4,very high
2024-06-28,North,Phone,Electronics,Returning,5,1193,5428.150000000001,2,
2024-08-10,North,Keyboard,Accessories,New,8,983,6369.84,4,
2024-09-06,South,Keyboard,Accessories,Returning,8,725,4118.0,1,very high
2024-05-26,West,Phone,Accessories,Returning,7,985,5171.25,2,
2024-04-05,South,Keyboard,Accessories,New,7,514,3562.02,2,very high
2024-09-13,North,Tablet,Accessories,Returning,6,335,1467.3,4,very high
2024-11-20,South,Mouse,Accessories,Returning,6,314,1450.68,3,very high
2024-01-04,North,Phone,Accessories,Returning,9,369,2557.17,4,very high
2024-01-16,South,Keyboard,Electronics,Returning,6,722,3725.52,4,very high
2024-10-06,North,Phone,Accessories,Returning,2,1449,2550.24,1,very high
2024-12-01,North,Monitor,Electronics,New,2,869,1581.5800000000002,1,very high
